# GPS Velocities in China. reference frame: ITRF2014        Version: 1.0
# ----------------------------------------------------------------------
# Velocities are extracted from the crustal deformation data of CMONOC:
#
#     Zhao B, et al., Crustal deformation on the Chinese mainland during
#     1998-2004 based on GPS data, Geodesy and Geodynamics (2015)
#     http://dx.doi.org/10.1016/j.geog.2014.12.006
#
# The original horizontal velocities are respect to the Eurasia plate,
# calculte the absolute values by:
#
#     V = ΔV + ω × X
#
# Where V is the absolute velocities vector of one GPS station, ΔV is
# velocities vector respected to Eurasia plate, ω is the Euler vector of
# Eurasia plate in ITRF2008, X is the coordinate vector of the station.
# ----------------------------------------------------------------------
# However, the reference frame of the calculted absolute velocities V is
# ITRF2008, transform them to ITRF2014 by:
#
#              .   .     .
#     V' = V + T + D·X + R·X
#
#       .  .  .
# Where T, D, R are transform parameters from ITRF2008 to ITRF2014, see:
#
#     http://itrf.ensg.ign.fr/doc_ITRF/Transfo-ITRF2014_ITRFs.txt
#
# ----------------------------------------------------------------------
# Units for the records:
#
#     Lat: Latitude in angle degree
#     Lon: Longitude in angle degree
#     Vx: Velocity(mm/yr) in X component
#     Vy: Velocity(mm/yr) in Y component
#     Vz: Velocity(mm/yr) in Z component
#
# ----------------------------------------------------------------------
# Lat     Lon      Vx      Vy      Vz
  69.4    88.4   -21.83    2.37   -0.76
  24.8   121.0   -27.79  -12.39   -8.34
  37.3   127.1   -25.71  -10.13   -9.97
  55.0    82.9   -25.77    3.59   -0.40
  48.5   135.0   -23.56   -8.57   -9.53
  36.6   101.8   -38.26   -5.90   -2.98
  43.8   125.4   -25.76   -8.69   -8.35
  14.6   121.1    25.13   12.57    7.86
  48.4   134.3   -23.34   -6.26  -10.65
  37.9    77.4   -29.66   -6.33   16.04
  16.8   112.3   -28.02   -8.33  -10.23
  37.2    79.0   -28.17   -5.59   14.10
  46.0   122.0   -27.23   -7.51   -7.95
  44.3    84.9   -32.17   -1.14    3.92
  26.9   120.0   -30.69  -12.32   -9.55
  28.4    86.9   -39.94   -9.67   21.54
  21.7   109.2   -32.06   -8.69   -6.29
  40.7   120.9   -29.02   -8.97   -8.57
  42.9    90.3   -32.30   -2.45    2.28
  23.5    99.4   -25.70   -0.02   -9.98
  36.8   119.5   -30.00   -9.63   -8.77
  23.4   103.4   -33.91   -5.02   -7.25
  38.5    90.8   -35.46   -4.72    5.11
  39.4   117.1   -25.41   -8.86   -4.69
  24.7   108.0   -33.72   -7.37   -7.78
  40.8   114.9   -29.69   -7.02   -7.30
  25.7   101.3   -33.65    0.20  -14.44
  28.7    97.5   -41.76   -1.13   -8.21
  41.1   107.1   -27.41   -7.39   -1.33
  38.2   114.3   -31.61   -7.28   -8.30
  27.1   102.7   -37.92   -0.90  -14.89
  38.2   100.2   -33.85   -4.14   -2.64
  34.5   113.1   -32.52   -7.11   -9.28
  28.2   104.5   -34.39   -5.45   -6.52
  30.3   109.5   -33.76   -7.12   -8.07
  34.5   100.2   -41.55   -7.03   -0.88
  37.2   104.1   -34.39   -5.30   -4.48
  31.0   105.9   -34.33   -5.04   -7.85
  35.5   105.8   -34.62   -4.89   -6.85
  34.5   105.9   -34.31   -4.25   -7.97
  34.5   105.9   -34.31   -4.25   -7.97
   9.5   112.9   -28.58  -10.60   -9.18
  46.8    82.9   -28.53    2.50    0.82
  42.4   128.1   -31.30  -13.47   -9.72
  43.4    83.3   -31.36   -0.87    4.60
  29.7    84.2   -37.26   -7.68   19.71
  41.8   123.6   -30.26  -11.70   -8.02
  42.8    83.7   -32.24   -1.11    4.83
  30.1   122.0   -29.70  -12.44   -9.23
  21.9   100.5   -29.52   -1.52  -10.08
  38.1    85.5   -29.10   -3.40    7.02
  23.5   111.2   -32.90   -9.15   -8.13
  36.1   120.3   -30.28  -10.33   -8.94
  42.2   116.0   -29.06   -6.87   -7.42
  25.0    98.4   -24.77    0.52   -9.20
  31.5    92.1   -49.99   -6.38    7.15
  30.6   117.0   -31.52  -10.18   -9.13
  40.1    94.7   -30.56   -2.62   -0.07
  38.5   116.9   -30.35   -8.39   -8.06
  25.7   101.9   -34.34    0.02  -15.10
  40.1   113.4   -32.34   -7.89   -6.85
  26.1   103.2   -35.10   -3.04  -10.65
  27.9   109.8   -33.56   -7.74   -8.02
  39.2   101.7   -31.74   -3.05   -4.43
  39.7   106.8   -31.09   -4.22   -6.16
  28.3   102.2   -39.20   -0.81  -14.21
  35.2   112.4   -32.99   -7.55   -8.15
  29.2   102.4   -38.05   -2.52  -10.50
  37.5   102.9   -34.14   -4.81   -4.03
  31.0   102.4   -40.52   -5.70   -5.49
  32.8   108.8   -33.74   -5.94   -8.40
  35.0   104.6   -35.10   -5.17   -5.73
  47.4   130.2   -27.87   -7.78  -11.24
  45.0    81.0   -29.52    2.07    2.40
  32.5    80.1   -32.08   -3.54   13.88
  19.0   109.8   -31.40   -7.65  -10.48
  47.9    88.1   -29.15   -1.07    1.68
  24.4   118.1   -30.61  -10.78  -11.19
  40.7   122.6   -28.60   -9.76   -8.55
  39.0    83.7   -29.78   -3.93    8.65
  29.3    87.2   -40.83   -8.40   18.21
  32.0   120.9   -30.81  -11.66   -9.57
  22.7   101.0   -29.36   -0.60  -12.37
  41.0   117.9   -28.90   -8.04   -7.57
  23.9   100.1   -30.52   -0.27  -11.84
  43.6   111.9   -29.92   -5.10   -6.92
  25.2   110.3   -34.30   -9.97   -5.76
  38.7    93.3   -33.95   -4.43    2.87
  36.8   118.0   -30.78   -9.28   -8.59
  25.0   101.5   -31.92    0.26  -14.55
  36.2   117.1   -30.48   -7.83   -9.68
  26.7   100.8   -36.20    0.54  -14.87
  39.4    99.8   -31.41   -3.17   -2.91
  37.4   114.7   -32.25   -8.34   -7.93
  28.9    99.8   -41.99    0.75  -14.58
  34.9    98.2   -44.74   -6.71    0.14
  32.0   112.0   -33.29   -7.82   -8.62
  28.7   102.5   -38.09   -2.44  -11.00
  36.1   111.4   -33.50   -7.07   -7.97
  37.6   105.2   -32.81   -5.49   -4.50
  30.5   105.6   -33.82   -5.17   -7.26
  31.7   103.8   -44.79   -7.94   -5.08
  34.4   104.0   -40.95   -8.46   -2.72
  53.0   122.5   -24.42   -4.81   -6.97
  39.8    78.8   -30.79   -4.96   12.82
  18.2   109.5   -31.68   -8.84   -7.32
  43.8   125.4   -25.73   -8.39   -8.58
  45.6    84.9   -33.37    1.85    0.93
  20.9    97.8   -27.64   -1.87   -5.40
  47.0    89.5   -29.73   -1.72    1.69
  23.2   113.3   -30.93   -8.80  -10.08
  42.9    86.7   -32.91   -2.36    4.39
  37.5   121.4   -29.09   -9.43   -9.47
  29.5   119.3   -31.10  -11.35   -9.69
  29.7    91.1   -46.96   -8.41   12.88
  23.4   101.7   -30.88   -0.76  -13.14
  40.7   117.2   -29.14   -7.36   -8.07
  24.4   100.9   -29.54    0.55  -13.86
  35.0   118.3   -31.01   -8.78  -10.19
  40.5    95.8   -31.06   -2.83   -0.58
  25.6   100.3   -29.75    1.81  -15.16
  40.1   114.2   -30.46   -5.20   -9.39
  26.5   106.7   -34.28   -6.53   -7.54
  40.6   110.0   -29.10   -4.92   -6.42
  33.0    97.0   -47.51   -5.61   -0.59
  27.9   101.3   -48.93   -0.72  -17.08
  37.7   112.4   -32.91   -7.12   -7.92
  30.8   111.0   -33.42   -8.26   -7.43
  37.5   101.4   -36.46   -5.42   -2.68
  28.8   103.5   -34.71   -4.20   -7.60
  35.1   111.2   -32.83   -7.29   -7.45
  35.5   102.0   -38.30   -7.40   -1.25
  31.8   106.7   -34.00   -5.59   -7.39
  32.4   105.9   -33.64   -5.11   -7.04
  39.7    75.2   -30.62   -1.33   10.77
  42.9   129.5   -31.92  -11.52  -12.46
  42.7    80.4   -32.19    0.40    5.21
  18.2   105.0   -29.49   -5.24   -8.33
  43.3   122.6   -27.69   -8.88   -8.07
  36.4    82.0   -27.27   -4.24   10.63
  22.3   113.6   -32.20   -9.97   -9.56
  46.2    91.0   -31.33   -2.29    1.51
  45.5   117.0   -28.39   -5.78   -7.77
  27.6   118.0   -31.62  -11.37   -9.51
  24.0    97.8   -23.41   -0.10   -7.29
  39.0    88.2   -30.06   -3.03    4.70
  26.7   115.1   -32.54  -10.35   -9.14
  23.4   104.2   -31.08   -4.00   -9.05
  39.7   117.4   -30.16   -7.43   -8.97
  34.2    92.4   -49.47   -5.71    5.10
  40.4   116.0   -30.18   -7.14   -8.20
  25.0   102.8   -33.07   -1.01  -13.96
  35.4   116.4   -31.66   -8.93   -8.78
  27.8    99.7   -35.33    3.28  -17.73
  37.4    97.4   -35.99   -5.47    0.81
  35.7   114.5   -31.69   -7.82   -8.61
  28.0   107.7   -35.13   -6.78   -8.25
  38.4   100.8   -32.75   -4.38   -2.52
  28.3   102.4   -38.71   -1.94  -12.23
  38.8   105.7   -29.61   -4.68   -4.56
  28.9   105.4   -34.70   -4.87   -8.49
  36.6   109.5   -34.89   -6.43   -7.74
  34.5   110.1   -33.70   -6.71   -7.92
  32.6   103.6   -40.44   -3.80   -9.35
  34.7   106.2   -33.61   -5.20   -6.56
  38.7    75.0   -27.57   -6.68   16.75
  45.7   126.6   -25.06   -8.14   -8.37
  44.0    81.5   -31.33    1.18    3.41
  20.0   110.2   -31.70   -8.30   -9.14
  40.0   124.3   -28.33  -11.25   -8.15
  32.3    84.1   -37.40   -6.72   16.39
  27.9   120.8   -30.09  -12.16   -9.68
  43.8    87.6   -31.31   -3.27    4.59
  22.6   100.0   -28.25   -1.20   -9.35
  43.8    90.3   -32.26   -2.21    1.95
  24.8   113.6   -32.38   -9.77   -9.05
  33.4   120.0   -29.77  -11.85   -7.26
  25.4    97.5   -24.85   -0.26   -6.63
  40.1   117.5   -28.05   -7.39   -7.79
  24.1   101.9   -32.21   -0.20  -14.78
  40.3   116.2   -29.77   -6.40   -8.92
  24.4   103.4   -34.50   -4.81   -7.66
  42.0   101.1   -31.36   -2.92   -3.71
  28.2   113.0   -37.13  -11.71   -7.27
  28.2   113.6   -31.70   -8.71   -9.09
  41.3   108.1   -30.84   -3.59   -7.21
  31.1    97.2   -49.31   -3.85   -4.19
  26.6   104.9   -34.06   -5.44   -7.32
  38.8   111.6   -32.76   -6.98   -7.13
  37.3   100.1   -37.01   -5.22   -1.99
  30.0   100.2   -44.54   -0.41  -13.24
  36.3   111.9   -32.79   -7.33   -7.61
  31.4   100.7   -46.75   -3.07   -9.55
  30.8   108.5   -33.18   -6.19   -8.09
  36.6   105.6   -34.21   -5.78   -5.11
  35.2   108.4   -33.96   -5.97   -7.40
  33.4   104.8   -35.56   -5.18   -6.43
  50.6   123.7   -24.66   -5.43   -7.68
  41.2    79.2   -31.18   -4.27   11.28
  30.8    81.4   -34.11   -4.80   16.25
  49.3   119.7   -26.29   -5.46   -7.28
  23.4   116.6   -31.62  -11.72   -8.88
  19.9   102.2   -30.38   -4.09   -7.16
  44.2    86.1   -31.81   -1.02    3.10
  37.2   122.4   -29.58  -10.91   -8.96
  41.8    86.2   -32.13   -3.32    5.90
  22.6   108.1   -33.42   -7.80   -7.54
  31.3   119.4   -31.66  -11.53   -9.31
  30.5    91.1   -46.63   -7.84   11.51
  39.7   118.3   -24.04   -8.87   -4.52
  24.7    99.2   -27.18    1.19  -12.35
  39.1   117.7   -30.96   -7.55   -9.69
  24.1   102.8   -32.70   -2.08  -12.02
  29.7   116.2   -32.28  -10.26   -9.13
  36.1    94.8   -36.30   -5.78    3.51
  39.8    98.2   -31.54   -3.04   -1.99
  39.4   114.0   -31.85   -6.96   -8.23
  26.5   101.7   -36.60    0.12  -15.45
  27.4   101.5   -38.96    0.09  -15.46
  37.6   112.9   -32.48   -7.05   -8.19
  31.1   112.2   -34.06   -8.27   -8.91
  38.6   103.1   -32.05   -4.15   -4.24
  31.6   100.0   -47.19   -3.58   -7.85
  31.0   101.1   -43.53   -2.27  -10.52
  30.1   102.8   -35.85   -3.42   -8.23
  36.1   103.7   -39.90   -7.98   -2.55
  35.5   106.6   -35.21   -5.31   -7.19
  34.1   107.3   -34.86   -5.47   -7.83
  43.8    87.6   -30.87   -2.17    3.43
  31.1   121.2   -29.92  -11.45   -9.73
  48.7   126.1   -25.99   -6.89   -8.72
  33.4    79.7   -31.83   -4.15   14.57
  47.7    86.9   -29.55   -0.35    1.61
  25.5   119.8   -30.18  -12.12   -9.73
  41.7    83.0   -32.90   -2.98    7.64
  21.2   110.3   -32.97   -8.68   -8.94
  43.9   120.1   -28.30   -7.53   -8.16
  27.4    88.9   -45.86  -12.23   24.97
  39.1   121.7   -28.76   -9.00   -9.38
  29.2    88.9   -42.84   -9.27   17.76
  22.8   103.2   -33.94   -4.87   -7.55
  34.7   119.5   -30.79  -10.06   -9.49
  42.8    94.3   -32.20   -2.55   -0.04
  23.9   106.7   -34.13   -6.73   -7.97
  40.9   115.8   -29.43   -6.64   -8.08
  25.9    99.4   -28.72    1.97  -13.99
  32.9   117.3   -31.22   -9.92   -8.76
  41.0   100.2   -30.86   -2.51   -3.63
  26.7   100.0   -33.05    2.15  -15.95
  40.3   111.3   -31.98   -5.19   -8.19
  26.4   103.3   -35.28   -3.80   -9.24
  32.8   114.0   -33.76   -9.19   -8.53
  36.3    98.1   -37.07   -6.75    1.77
  36.2   113.2   -26.31   -8.30   -3.96
  29.0   101.5   -40.47    0.12  -15.06
  38.5   106.3   -31.90   -4.63   -5.88
  29.9   107.2   -33.69   -5.99   -7.66
  32.9   100.7   -44.43   -5.68   -4.38
  34.0   102.1   -40.51   -6.12   -3.96
  35.6   104.6   -36.03   -5.50   -5.47
  33.1   106.7   -36.22   -5.31   -8.42
  44.6   123.5   -27.24   -8.78   -8.00
  40.9   112.6   -30.87   -6.75   -6.69
  40.2   112.4   -31.63   -6.62   -7.22
  41.0   113.1   -32.81   -6.05   -8.60
  40.8   113.2   -30.33   -6.08   -7.56
  40.4   113.2   -31.70   -6.63   -7.71
  40.0   112.7   -32.45   -7.37   -7.01
  40.1   113.2   -30.62   -6.37   -7.57
  41.1   114.0   -30.88   -6.78   -7.49
  40.4   113.8   -31.51   -6.94   -7.67
  40.0   113.7   -32.41   -7.34   -7.72
  41.2   114.7   -31.07   -7.18   -7.57
  40.7   114.2   -30.63   -6.53   -7.87
  40.5   114.4   -31.07   -6.47   -8.32
  40.5   114.1   -31.36   -6.91   -7.80
  40.9   114.8   -31.31   -6.56   -8.48
  40.6   115.0   -33.14   -8.45   -7.59
  40.4   114.8   -31.27   -6.82   -8.33
  40.2   114.7   -31.39   -6.80   -8.41
  40.1   114.9   -31.33   -7.16   -8.15
  39.8   112.8   -31.98   -7.15   -7.16
  39.2   112.8   -37.92   -8.54   -8.56
  39.0   112.8   -32.77   -7.13   -7.77
  38.7   112.8   -32.23   -6.54   -8.27
  38.4   112.7   -32.78   -6.69   -8.38
  39.8   113.1   -30.50   -6.95   -6.89
  39.6   113.3   -31.65   -6.85   -7.73
  39.1   113.7   -32.75   -6.91   -8.61
  38.4   113.0   -32.35   -6.71   -8.36
  39.7   113.6   -31.99   -6.94   -7.96
  39.6   113.8   -31.83   -7.56   -7.37
  39.1   113.9   -32.38   -7.27   -8.17
  38.8   113.6   -33.11   -7.43   -8.23
  39.8   114.2   -32.20   -7.55   -7.77
  38.9   114.2   -31.81   -6.98   -8.48
  38.6   114.1   -32.23   -7.93   -7.63
  39.6   115.3   -32.08   -8.23   -7.78
  39.8   114.6   -30.43   -8.23   -6.42
  39.7   114.8   -31.13   -7.46   -7.77
  39.4   114.6   -32.18   -7.53   -8.18
  39.0   114.7   -30.94   -7.36   -7.91
  38.4   114.6   -28.91   -8.77   -5.33
  38.8   114.9   -31.27   -7.75   -7.84
  41.0   115.3   -30.34   -7.09   -7.73
  40.7   115.4   -34.58   -9.17   -7.80
  40.5   115.4   -30.77   -7.43   -7.79
  40.3   115.2   -30.20   -6.61   -8.31
  40.2   115.2   -30.78   -7.26   -7.94
  41.3   115.7   -30.97   -7.51   -7.78
  40.9   115.8   -30.55   -7.54   -7.71
  40.4   115.6   -31.69   -7.58   -8.25
  40.4   115.5   -31.24   -7.40   -8.14
  41.1   116.1   -30.28   -7.74   -7.50
  40.7   116.2   -30.84   -7.34   -8.36
  40.5   116.4   -30.28   -7.50   -8.10
  40.3   115.9   -30.86   -8.15   -7.45
  41.2   116.6   -30.32   -7.74   -7.79
  41.0   116.9   -30.92   -7.79   -8.29
  40.7   116.6   -30.05   -7.82   -7.70
  40.4   116.8   -31.33   -7.45   -8.98
  40.3   116.6   -33.14   -7.24  -10.06
  41.2   117.2   -30.00   -7.84   -7.89
  40.9   117.4   -29.08   -8.59   -6.84
  40.7   117.2   -30.51   -7.85   -8.29
  40.4   117.3   -31.00   -8.34   -8.19
  40.5   117.5   -31.38   -9.31   -7.50
  40.1   117.1   -31.48   -8.19   -8.57
  40.2   117.5   -31.21   -8.89   -7.92
  40.0   115.7   -32.25   -7.76   -8.53
  39.6   115.6   -31.44   -7.46   -8.49
  39.4   115.2   -31.66   -7.64   -8.19
  39.4   115.5   -31.94   -7.48   -8.72
  39.0   115.3   -30.97   -8.27   -7.32
  38.8   115.5   -32.48   -8.43   -8.13
  40.0   116.1   -30.70   -8.16   -7.56
  39.7   116.1   -32.38   -8.33   -8.34
  39.7   116.3   -29.21   -6.46   -8.82
  39.5   116.0   -30.55   -8.00   -7.73
  39.4   116.3   -34.70   -9.31   -8.76
  39.1   115.8   -29.06   -7.89   -7.03
  38.7   116.1   -32.42   -8.01   -9.03
  39.9   116.6   -25.05   -8.37   -4.66
  39.5   116.7   -34.26   -9.40   -8.69
  39.1   116.4   -30.84   -9.49   -6.61
  38.9   116.5   -28.14  -10.39   -4.25
  40.0   117.1   -31.68   -9.51   -7.30
  39.4   117.1   -29.66   -6.81   -9.27
  38.7   116.9   -30.89   -8.51   -8.17
  38.7   117.1   -29.42   -8.69   -7.28
  39.6   117.5   -31.99   -9.14   -8.26
  41.3   117.9   -30.53   -8.42   -7.97
  41.0   117.9   -30.81   -8.56   -8.07
  40.7   118.1   -30.20   -8.52   -8.00
  40.6   117.7   -30.34   -8.44   -7.92
  40.3   118.0   -30.81   -8.25   -8.67
  41.0   118.6   -30.43   -8.38   -8.48
  40.6   118.5   -30.72   -8.93   -8.14
  40.4   118.3   -30.72   -8.63   -8.38
  40.1   118.3   -27.52   -7.92   -7.41
  41.0   119.2   -29.57   -8.07   -8.68
  40.0   118.7   -29.64   -8.94   -7.81
  40.8   119.8   -29.79   -8.68   -8.62
  40.5   119.4   -29.49   -8.70   -8.27
  40.3   119.2   -29.22   -9.50   -7.23
  40.4   119.7   -30.05   -8.54   -8.97
  40.3   120.3   -30.27   -9.31   -8.73
  40.0   119.7   -29.68   -8.81   -8.61
  40.0   117.7   -31.19   -9.29   -7.67
  39.3   117.5   -32.68   -5.16  -13.05
  39.3   117.7   -32.48  -10.04   -7.79
  39.6   118.2   -34.43   -7.36  -12.03
  39.0   118.3   -32.63   -8.28  -10.31
  39.7   118.7   -31.77   -8.59   -9.50
  39.3   118.5   -31.69   -8.01  -10.07
  39.9   119.3   -33.76   -9.68   -9.86
  39.9   119.0   -30.39   -8.66   -8.76
  40.3   116.2   -29.64   -5.61   -9.69
  40.3   116.1   -31.98   -8.00   -8.32
  40.2   116.2   -30.72   -8.07   -7.68
  40.3   116.1   -31.00   -8.73   -7.04
  39.8   116.3   -34.32   -7.65  -10.22
  39.8   116.2   -35.57   -7.88  -10.55
  39.8   116.1   -32.52   -8.53   -8.17
  39.8   116.0   -32.40   -8.58   -7.99
  39.2   116.9   -33.89   -8.02  -10.24
  39.4   113.9   -32.40   -7.48   -7.86
  39.8   117.4   -31.85   -8.21   -9.04
  40.7   112.8   -30.97   -5.97   -7.75
  40.4   113.0   -31.17   -6.12   -7.88
  40.4   113.0   -31.77   -7.07   -7.14
  41.6   113.5   -30.35   -6.19   -7.43
  41.1   113.5   -30.32   -6.11   -7.63
  40.6   113.7   -31.01   -6.27   -8.04
  41.0   114.3   -30.93   -7.05   -7.44
  41.3   114.5   -30.69   -6.86   -7.57
  40.7   114.6   -30.71   -6.16   -8.54
  41.0   114.8   -28.96   -2.84  -11.20
  40.7   115.0   -31.12   -7.01   -8.10
  41.5   115.1   -30.59   -6.97   -7.72
  40.5   115.2   -30.21   -7.75   -7.05
  40.9   115.6   -30.40   -7.22   -7.84
  40.6   115.7   -31.14   -6.97   -8.63
  40.9   116.4   -30.34   -7.51   -8.00
  40.6   116.9   -30.73   -7.54   -8.56
  40.8   117.0   -31.27   -8.54   -7.83
  40.7   117.4   -31.12   -8.26   -8.32
  40.8   117.7   -31.40   -8.70   -8.18
  40.5   118.1   -30.09   -8.38   -8.13
  41.0   118.3   -31.00   -8.73   -8.25
  41.4   118.5   -29.83   -8.27   -8.10
  40.3   118.5   -30.32   -8.69   -8.24
  40.1   118.9   -29.66   -8.26   -8.63
  40.2   120.0   -29.98   -8.99   -8.73
  40.6   120.2   -30.24   -8.84   -9.03
  40.5   116.1   -31.61   -7.15   -8.96
  40.5   115.6   -30.60   -7.68   -7.57
  40.4   116.3   -31.22   -7.29   -8.77
  40.3   113.5   -31.28   -7.16   -7.16
  40.3   114.1   -30.93   -6.97   -7.58
  40.2   116.8   -30.72   -8.10   -8.03
  40.2   116.5   -30.00   -7.14   -8.48
  40.2   115.6   -31.10   -7.41   -8.19
  40.1   116.0   -31.18   -8.46   -7.40
  40.1   118.0   -29.14   -8.46   -7.58
  40.0   114.6   -31.97   -6.79   -8.70
  40.1   113.4   -31.25   -6.82   -7.50
  40.1   116.4   -28.91   -6.89   -8.13
  39.9   118.4   -29.80   -8.79   -7.90
  39.9   113.4   -32.56   -5.73   -9.37
  39.9   114.9   -30.92   -7.40   -7.74
  39.9   117.5   -31.67   -8.97   -8.17
  39.8   113.9   -32.03   -6.73   -8.39
  39.9   117.9   -30.40   -8.59   -8.13
  39.8   115.7   -31.63   -8.31   -7.68
  39.8   115.9   -34.69   -8.61   -9.09
  39.8   113.5   -32.00   -6.88   -7.95
  39.7   116.6   -31.39   -9.02   -7.42
  39.7   115.9   -32.65   -8.42   -8.25
  39.7   116.7   -31.34   -7.61   -8.97
  39.6   113.8   -32.12   -7.43   -7.65
  39.5   114.4   -29.50   -7.65   -6.53
  39.6   119.1   -32.87   -9.25   -9.75
  39.6   117.2   -30.12   -8.78   -7.40
  39.6   116.5   -31.71   -8.29   -8.33
  39.5   117.2   -32.69   -6.94  -10.84
  39.4   114.9   -31.71   -7.42   -8.26
  39.5   117.9   -30.84   -8.10   -9.02
  39.5   117.1   -31.20  -10.77   -5.81
  39.5   117.7   -31.55   -8.13   -9.26
  39.4   113.0   -31.31   -7.13   -7.10
  39.4   115.7   -31.57   -8.22   -7.85
  39.4   119.1   -32.31   -8.62  -10.16
  39.3   116.9   -31.03   -9.85   -6.63
  39.3   113.4   -32.22   -6.94   -8.05
  39.3   116.1   -33.74   -8.03   -9.52
  39.3   117.3   -32.57   -8.74   -8.96
  39.3   112.2   -31.84   -6.52   -7.52
  39.2   115.1   -31.93   -8.01   -7.91
  39.2   117.6   -32.17   -9.89   -7.73
  39.2   115.5   -32.62   -8.04   -8.52
  39.1   114.2   -31.86   -6.77   -8.67
  39.0   117.5   -29.40   -7.45   -8.81
  38.9   116.1   -30.84   -8.41   -7.66
  38.8   117.3   -30.16  -10.13   -6.22
  38.7   113.0   -33.07   -6.86   -8.45
  38.7   115.2   -32.53   -8.24   -8.19
  38.6   117.5   -33.14   -8.32  -10.13
  38.6   116.4   -30.59   -6.63   -9.81
  38.5   113.7   -31.92   -7.02   -8.26
  38.5   117.0   -31.52   -8.52   -8.66
  38.4   115.7   -33.79   -9.06   -8.40
  40.2   114.1   -32.08   -6.85   -8.30
  40.4   115.1   -31.84   -7.33   -8.27
  40.1   116.6   -27.81   -8.57   -5.89
  38.7   116.6   -30.98   -7.88   -8.73
  40.8   119.1   -30.41   -8.81   -8.41
  39.1   117.6   -31.35   -8.79   -8.50
  39.5   118.6   -30.78   -7.81   -9.76
  41.2   114.7   -30.69   -6.77   -7.82
  37.9   120.7   -31.52  -11.35   -8.34
  37.8   120.8   -31.62  -11.19   -8.69
  37.6   120.5   -29.66   -8.95   -9.74
  37.5   121.3   -32.02  -11.74   -8.81
  37.2   122.4   -32.20  -12.13   -9.45
  36.8   121.2   -32.53  -11.59   -9.49
  37.0   120.7   -31.54  -11.05   -8.98
  33.2   120.5   -32.47  -11.16  -10.73
  31.7   119.9   -32.31  -13.46   -7.45
  31.7   120.8   -31.83  -11.92  -10.07
  31.2   120.6   -31.47  -12.44   -9.04
  30.8   120.2   -32.64  -12.61   -9.54
  30.7   122.4   -30.69  -12.77   -9.80
  37.6   118.8   -31.70   -9.53   -9.20
  37.2   118.1   -32.45  -10.54   -8.11
  36.9   118.7   -32.14  -11.72   -7.09
  37.2   120.0   -32.74  -11.96   -8.14
  36.8   119.9   -31.29  -10.62   -8.76
  36.5   118.6   -31.31  -10.16   -8.42
  36.8   118.1   -32.00  -10.17   -8.38
  36.2   118.2   -31.84  -10.71   -7.88
  36.4   119.8   -32.44  -11.02   -9.12
  36.0   119.5   -31.84  -11.04   -8.57
  35.8   119.2   -33.48   -9.82  -11.00
  35.5   118.4   -31.51   -9.71   -9.26
  35.9   117.8   -31.39   -9.30   -9.09
